date,population_daily_est
2020-01-01,214298
2020-01-02,214299
2020-01-03,214300
2020-01-04,214301
2020-01-05,214303
2020-01-06,214304
2020-01-07,214305
2020-01-08,214306
2020-01-09,214307
2020-01-10,214308
2020-01-11,214309
2020-01-12,214311
2020-01-13,214312
2020-01-14,214313
2020-01-15,214314
2020-01-16,214315
2020-01-17,214316
2020-01-18,214317
2020-01-19,214319
2020-01-20,214320
2020-01-21,214321
2020-01-22,214322
2020-01-23,214323
2020-01-24,214324
2020-01-25,214325
2020-01-26,214327
2020-01-27,214328
2020-01-28,214329
2020-01-29,214330
2020-01-30,214331
2020-01-31,214332
2020-02-01,214334
2020-02-02,214335
2020-02-03,214336
2020-02-04,214337
2020-02-05,214338
2020-02-06,214339
2020-02-07,214340
2020-02-08,214342
2020-02-09,214343
2020-02-10,214344
2020-02-11,214345
2020-02-12,214346
2020-02-13,214347
2020-02-14,214348
2020-02-15,214350
2020-02-16,214351
2020-02-17,214352
2020-02-18,214353
2020-02-19,214354
2020-02-20,214355
2020-02-21,214356
2020-02-22,214358
2020-02-23,214359
2020-02-24,214360
2020-02-25,214361
2020-02-26,214362
2020-02-27,214363
2020-02-28,214364
2020-02-29,214366
2020-03-01,214367
2020-03-02,214368
2020-03-03,214369
2020-03-04,214370
2020-03-05,214371
2020-03-06,214372
2020-03-07,214374
2020-03-08,214375
2020-03-09,214376
2020-03-10,214377
2020-03-11,214378
2020-03-12,214379
2020-03-13,214380
2020-03-14,214382
2020-03-15,214383
2020-03-16,214384
2020-03-17,214385
2020-03-18,214386
2020-03-19,214387
2020-03-20,214388
2020-03-21,214390
2020-03-22,214391
2020-03-23,214392
2020-03-24,214393
2020-03-25,214394
2020-03-26,214395
2020-03-27,214396
2020-03-28,214398
2020-03-29,214399
2020-03-30,214400
2020-03-31,214401
2020-04-01,214402
2020-04-02,214403
2020-04-03,214405
2020-04-04,214406
2020-04-05,214407
2020-04-06,214408
2020-04-07,214409
2020-04-08,214410
2020-04-09,214411
2020-04-10,214413
2020-04-11,214414
2020-04-12,214415
2020-04-13,214416
2020-04-14,214417
2020-04-15,214418
2020-04-16,214419
2020-04-17,214421
2020-04-18,214422
2020-04-19,214423
2020-04-20,214424
2020-04-21,214425
2020-04-22,214426
2020-04-23,214427
2020-04-24,214429
2020-04-25,214430
2020-04-26,214431
2020-04-27,214432
2020-04-28,214433
2020-04-29,214434
2020-04-30,214435
2020-05-01,214437
2020-05-02,214438
2020-05-03,214439
2020-05-04,214440
2020-05-05,214441
2020-05-06,214442
2020-05-07,214443
2020-05-08,214445
2020-05-09,214446
2020-05-10,214447
2020-05-11,214448
2020-05-12,214449
2020-05-13,214450
2020-05-14,214451
2020-05-15,214453
2020-05-16,214454
2020-05-17,214455
2020-05-18,214456
2020-05-19,214457
2020-05-20,214458
2020-05-21,214459
2020-05-22,214461
2020-05-23,214462
2020-05-24,214463
2020-05-25,214464
2020-05-26,214465
2020-05-27,214466
2020-05-28,214467
2020-05-29,214469
2020-05-30,214470
2020-05-31,214471
2020-06-01,214472
2020-06-02,214473
2020-06-03,214474
2020-06-04,214476
2020-06-05,214477
2020-06-06,214478
2020-06-07,214479
2020-06-08,214480
2020-06-09,214481
2020-06-10,214482
2020-06-11,214484
2020-06-12,214485
2020-06-13,214486
2020-06-14,214487
2020-06-15,214488
2020-06-16,214489
2020-06-17,214490
2020-06-18,214492
2020-06-19,214493
2020-06-20,214494
2020-06-21,214495
2020-06-22,214496
2020-06-23,214497
2020-06-24,214498
2020-06-25,214500
2020-06-26,214501
2020-06-27,214502
2020-06-28,214503
2020-06-29,214504
2020-06-30,214505
2020-07-01,214506
2020-07-02,214508
2020-07-03,214509
2020-07-04,214510
2020-07-05,214511
2020-07-06,214512
2020-07-07,214513
2020-07-08,214514
2020-07-09,214516
2020-07-10,214517
2020-07-11,214518
2020-07-12,214519
2020-07-13,214520
2020-07-14,214521
2020-07-15,214522
2020-07-16,214524
2020-07-17,214525
2020-07-18,214526
2020-07-19,214527
2020-07-20,214528
2020-07-21,214529
2020-07-22,214530
2020-07-23,214532
2020-07-24,214533
2020-07-25,214534
2020-07-26,214535
2020-07-27,214536
2020-07-28,214537
2020-07-29,214538
2020-07-30,214540
2020-07-31,214541
2020-08-01,214542
2020-08-02,214543
2020-08-03,214544
2020-08-04,214545
2020-08-05,214547
2020-08-06,214548
2020-08-07,214549
2020-08-08,214550
2020-08-09,214551
2020-08-10,214552
2020-08-11,214553
2020-08-12,214555
2020-08-13,214556
2020-08-14,214557
2020-08-15,214558
2020-08-16,214559
2020-08-17,214560
2020-08-18,214561
2020-08-19,214563
2020-08-20,214564
2020-08-21,214565
2020-08-22,214566
2020-08-23,214567
2020-08-24,214568
2020-08-25,214569
2020-08-26,214571
2020-08-27,214572
2020-08-28,214573
2020-08-29,214574
2020-08-30,214575
2020-08-31,214576
2020-09-01,214577
2020-09-02,214579
2020-09-03,214580
2020-09-04,214581
2020-09-05,214582
2020-09-06,214583
2020-09-07,214584
2020-09-08,214585
2020-09-09,214587
2020-09-10,214588
2020-09-11,214589
2020-09-12,214590
2020-09-13,214591
2020-09-14,214592
2020-09-15,214593
2020-09-16,214595
2020-09-17,214596
2020-09-18,214597
2020-09-19,214598
2020-09-20,214599
2020-09-21,214600
2020-09-22,214601
2020-09-23,214603
2020-09-24,214604
2020-09-25,214605
2020-09-26,214606
2020-09-27,214607
2020-09-28,214608
2020-09-29,214609
2020-09-30,214611
2020-10-01,214612
2020-10-02,214613
2020-10-03,214614
2020-10-04,214615
2020-10-05,214616
2020-10-06,214618
2020-10-07,214619
2020-10-08,214620
2020-10-09,214621
2020-10-10,214622
2020-10-11,214623
2020-10-12,214624
2020-10-13,214626
2020-10-14,214627
2020-10-15,214628
2020-10-16,214629
2020-10-17,214630
2020-10-18,214631
2020-10-19,214632
2020-10-20,214634
2020-10-21,214635
2020-10-22,214636
2020-10-23,214637
2020-10-24,214638
2020-10-25,214639
2020-10-26,214640
2020-10-27,214642
2020-10-28,214643
2020-10-29,214644
2020-10-30,214645
2020-10-31,214646
2020-11-01,214647
2020-11-02,214648
2020-11-03,214650
2020-11-04,214651
2020-11-05,214652
2020-11-06,214653
2020-11-07,214654
2020-11-08,214655
2020-11-09,214656
2020-11-10,214658
2020-11-11,214659
2020-11-12,214660
2020-11-13,214661
2020-11-14,214662
2020-11-15,214663
2020-11-16,214664
2020-11-17,214666
2020-11-18,214667
2020-11-19,214668
2020-11-20,214669
2020-11-21,214670
2020-11-22,214671
2020-11-23,214672
2020-11-24,214674
2020-11-25,214675
2020-11-26,214676
2020-11-27,214677
2020-11-28,214678
2020-11-29,214679
2020-11-30,214680
2020-12-01,214682
2020-12-02,214683
2020-12-03,214684
2020-12-04,214685
2020-12-05,214686
2020-12-06,214687
2020-12-07,214689
2020-12-08,214690
2020-12-09,214691
2020-12-10,214692
2020-12-11,214693
2020-12-12,214694
2020-12-13,214695
2020-12-14,214697
2020-12-15,214698
2020-12-16,214699
2020-12-17,214700
2020-12-18,214701
2020-12-19,214702
2020-12-20,214703
2020-12-21,214705
2020-12-22,214706
2020-12-23,214707
2020-12-24,214708
2020-12-25,214709
2020-12-26,214710
2020-12-27,214711
2020-12-28,214713
2020-12-29,214714
2020-12-30,214715
2020-12-31,214716
2021-01-01,214716
2021-01-02,214717
2021-01-03,214718
2021-01-04,214719
2021-01-05,214721
2021-01-06,214722
2021-01-07,214723
2021-01-08,214724
2021-01-09,214725
2021-01-10,214726
2021-01-11,214727
2021-01-12,214729
2021-01-13,214730
2021-01-14,214731
2021-01-15,214732
2021-01-16,214733
2021-01-17,214734
2021-01-18,214735
2021-01-19,214737
2021-01-20,214738
2021-01-21,214739
2021-01-22,214740
2021-01-23,214741
2021-01-24,214742
2021-01-25,214743
2021-01-26,214745
2021-01-27,214746
2021-01-28,214747
2021-01-29,214748
2021-01-30,214749
2021-01-31,214750
2021-02-01,214752
2021-02-02,214753
2021-02-03,214754
2021-02-04,214755
2021-02-05,214756
2021-02-06,214757
2021-02-07,214758
2021-02-08,214760
2021-02-09,214761
2021-02-10,214762
2021-02-11,214763
2021-02-12,214764
2021-02-13,214765
2021-02-14,214766
2021-02-15,214768
2021-02-16,214769
2021-02-17,214770
2021-02-18,214771
2021-02-19,214772
2021-02-20,214773
2021-02-21,214774
2021-02-22,214776
2021-02-23,214777
2021-02-24,214778
2021-02-25,214779
2021-02-26,214780
2021-02-27,214781
2021-02-28,214782
2021-03-01,214784
2021-03-02,214785
2021-03-03,214786
2021-03-04,214787
2021-03-05,214788
2021-03-06,214789
